A01,S01,S02
0.26,189.0,219.0
0.0,189.0,219.0
0.0,189.0,219.0
0.26,189.0,219.0
0.26,189.0,219.0
0.0,190.0,220.0
0.0,190.0,220.0
0.0,191.0,221.0
0.0,192.0,222.0
0.26,191.0,221.0
0.0,190.0,220.0
0.0,191.0,220.0
0.26,191.0,221.0
0.26,192.0,222.0
0.26,194.0,224.0
1.74,195.0,224.0
13.9,195.0,224.0
0.26,195.0,225.0
0.26,197.0,225.0
0.26,196.0,225.0
0.26,197.0,225.0
0.26,197.0,226.0
0.26,198.0,228.0
0.26,200.0,229.0
0.26,201.0,230.0
0.26,202.0,231.0
0.0,201.0,231.0
0.26,201.0,230.0
0.26,202.0,231.0
0.26,174.0,203.0
0.26,174.0,203.0
2.23,174.0,203.0
10.37,176.0,204.0
0.0,182.0,210.0
0.0,183.0,212.0
0.0,183.0,212.0
0.0,183.0,211.0
0.0,183.0,212.0
0.0,183.0,212.0
0.0,183.0,211.0
0.26,184.0,211.0
0.0,184.0,212.0
0.26,184.0,212.0
0.0,184.0,212.0
0.26,184.0,212.0
0.0,185.0,212.0
0.0,185.0,212.0
0.26,184.0,212.0
0.0,185.0,212.0
0.0,185.0,212.0
0.26,185.0,212.0
0.0,184.0,212.0
0.26,184.0,212.0
0.26,184.0,212.0
0.26,184.0,212.0
0.26,184.0,211.0
0.26,183.0,211.0
0.0,183.0,211.0
